Date,Vendor Name,Country,Product,Gross Bookings,Fees
1/1/2015,Vendor A,Country 14,Product 4,23296.95,1653.35
1/1/2015,Vendor A,Country 19,Product 10,-0.44, $-   
1/1/2015,Vendor A,Country 10,Product 3,123.76,2.8
1/1/2015,Vendor A,Country 7,Product 3,264.62,5.65
1/1/2015,Vendor A,Country 25,Product 12,50938.75,4272.67
1/1/2015,Vendor A,Country 21,Product 2,16.44,1.38
1/1/2015,Vendor A,Country 32,Product 4,1512.36,34.99
1/1/2015,Vendor A,Country 49,Product 2,77.75,3.19
1/1/2015,Vendor A,Country 7,Product 1,8599.64,1036.73
1/1/2015,Vendor A,Country 27,Product 4,29323.21,895.67
1/1/2015,Vendor A,Country 25,Product 3,6145.54,132.92
1/1/2015,Vendor A,Country 6,Product 8,8.48,0.15
1/1/2015,Vendor A,Country 7,Product 15,93.49,11.19
1/1/2015,Vendor A,Country 35,Product 8,267.58,2.98
1/1/2015,Vendor A,Country 30,Product 4,164762.06,2795.68
1/1/2015,Vendor A,Country 40,Product 10,608.59,51.18
1/1/2015,Vendor A,Country 1,Product 4,57675.61,1494.94
1/1/2015,Vendor A,Country 49,Product 3,20.82,1.02
1/1/2015,Vendor A,Country 52,Product 3,51.93,1.77
1/1/2015,Vendor A,Country 21,Product 1,6.48,0.2
1/1/2015,Vendor A,Country 28,Product 12,853.22,71.09
1/1/2015,Vendor A,Country 44,Product 12,1760.12,147.06
1/1/2015,Vendor A,Country 30,Product 2,-75.48,52.52
1/1/2015,Vendor A,Country 25,Product 2,189.1,28.45
1/1/2015,Vendor F,Country 2,Product 9,26280860.11,740159.57
1/1/2015,Vendor D,Country 2,Product 14,585.99, $-   
1/1/2015,Vendor C,Country 49,Product 7,20.2,0.39
1/1/2015,Vendor C,Country 54,Product 7,317448.58,4537.63
1/1/2015,Vendor C,Country 5,Product 7,1952.2,36.35
1/1/2015,Vendor A,Country 43,Product 4,11210,354.56
1/1/2015,Vendor A,Country 42,Product 9,15107.9,251.82
1/1/2015,Vendor A,Country 28,Product 9,21408.75,635.1
1/1/2015,Vendor A,Country 26,Product 4,4121.47,127.41
1/1/2015,Vendor A,Country 30,Product 9,155924.99,2078.63
1/1/2015,Vendor A,Country 48,Product 9,9020.55,102.77
1/1/2015,Vendor A,Country 27,Product 9,45997.28,980.42
1/1/2015,Vendor A,Country 8,Product 9,910694.58,58154.66
1/1/2015,Vendor A,Country 45,Product 12,5430.05,461.99
1/1/2015,Vendor A,Country 4,Product 9,5059.46,180.5
1/1/2015,Vendor A,Country 53,Product 4,58619.93,4368.97
1/1/2015,Vendor A,Country 36,Product 9,6894.61,599.8
1/1/2015,Vendor A,Country 18,Product 9,423229.05,28052.58
1/1/2015,Vendor A,Country 33,Product 4,21837.64,1030.3
1/1/2015,Vendor A,Country 47,Product 10,27.26,2.29
1/1/2015,Vendor A,Country 51,Product 9,5606.64,253.8
1/1/2015,Vendor A,Country 47,Product 9,46757.4,3560.88
1/1/2015,Vendor A,Country 40,Product 4,238018.81,15808.34
1/1/2015,Vendor A,Country 20,Product 4,17431.08,1420
1/1/2015,Vendor A,Country 18,Product 3,15.56,0.49
1/1/2015,Vendor A,Country 41,Product 12,318.46,26.46
1/1/2015,Vendor A,Country 9,Product 4,2102.83,79.86
1/1/2015,Vendor A,Country 32,Product 9,1666.99,39.47
1/1/2015,Vendor A,Country 41,Product 9,1019.3,30.81
1/1/2015,Vendor A,Country 5,Product 12,3442.07,290.98
1/1/2015,Vendor A,Country 41,Product 8,0.22,0.03
1/1/2015,Vendor A,Country 3,Product 12,27681,2321.58
1/1/2015,Vendor A,Country 2,Product 10,136.92,5.6
1/1/2015,Vendor A,Country 11,Product 3,38.15,0.87
1/1/2015,Vendor A,Country 51,Product 4,8937.44,454.1
1/1/2015,Vendor A,Country 18,Product 12,286976.93,24505.93
1/1/2015,Vendor A,Country 26,Product 3,15.41,0.37
1/1/2015,Vendor A,Country 43,Product 3,30.76,0.79
1/1/2015,Vendor A,Country 19,Product 12,9086.33,777.72
1/1/2015,Vendor A,Country 43,Product 10,821.42,69.86
1/1/2015,Vendor A,Country 21,Product 12,1215.83,101.01
1/1/2015,Vendor A,Country 31,Product 8,4.61,0.12
1/1/2015,Vendor A,Country 42,Product 12,1187.41,100.24
1/1/2015,Vendor F,Country 2,Product 2,716446.8,23650.79
1/1/2015,Vendor B,Country 54,Product 6,279401.41,8102.64
1/1/2015,Vendor B,Country 43,Product 6,4696.41,131.49
1/1/2015,Vendor B,Country 27,Product 6,5222.67,146.24
1/1/2015,Vendor B,Country 55,Product 6,32323.95,937.36
1/1/2015,Vendor B,Country 40,Product 6,98047.89,2843.39
1/1/2015,Vendor A,Country 34,Product 9,63562.72,1039.4
1/1/2015,Vendor A,Country 29,Product 4,49512.34,3278.97
1/1/2015,Vendor A,Country 50,Product 9,61137.92,3490.04
1/1/2015,Vendor A,Country 25,Product 1,3.05,0.03
