Date,Vendor Name,Country,Product, Gross Bookings , Fees ,Fees/ Gross Bookings,,,Total Cell Range:,7911
2/1/2015,Vendor A,Country 7,Product 5,85.34,2.1,0.024607453,,,,
2/1/2015,Vendor F,Country 2,Product 14,3233.18,115.6,0.035754273,,,,
2/1/2015,Vendor F,Country 2,Product 6, $-   ,191.28,#VALUE!,,,,
2/1/2015,Vendor B,Country 27,Product 6,7394.34,207.04,0.027999794,,,,
2/1/2015,Vendor B,Country 40,Product 6,123440.94,3579.78,0.028999941,,,,
2/1/2015,Vendor B,Country 4,Product 6,357.66,5.11,0.014287312,,,,
2/1/2015,Vendor B,Country 31,Product 6,25396.12,703.4,0.027697144,,,,
2/1/2015,Vendor C,Country 6,Product 7,30299.05,562.77,0.01857385,,,,
2/1/2015,Vendor A,Country 33,Product 9,23547.96,638.78,0.027126766,,,,
2/1/2015,Vendor A,Country 10,Product 10,40.06,3.37,0.084123814,,,,
2/1/2015,Vendor A,Country 17,Product 9,6367.69,248.75,0.039064402,,,,
2/1/2015,Vendor A,Country 10,Product 9,193853.45,11602.45,0.059851656,,,,
2/1/2015,Vendor A,Country 36,Product 9,9417.5,916.72,0.097342182,,,,
2/1/2015,Vendor A,Country 24,Product 9,1337.93,115.07,0.086005994,,,,
2/1/2015,Vendor A,Country 12,Product 9,57609.46,5924.65,0.102841617,,,,
2/1/2015,Vendor A,Country 18,Product 12,439934.18,37403.63,0.085020968,,,,
2/1/2015,Vendor A,Country 35,Product 8,531.36,5.21,0.009805029,,,,
2/1/2015,Vendor A,Country 7,Product 9,2904076.66,66004.91,0.022728364,,,,
2/1/2015,Vendor A,Country 1,Product 1,62.38,0.7,0.011221545,,,,
2/1/2015,Vendor A,Country 6,Product 10,109.36,9.21,0.084217264,,,,
2/1/2015,Vendor A,Country 34,Product 9,77458.16,1303.94,0.016834121,,,,
2/1/2015,Vendor A,Country 5,Product 8,-9.36,8.94,-0.955128205,,,,
2/1/2015,Vendor A,Country 6,Product 2,123.67,10.49,0.084822512,,,,
2/1/2015,Vendor A,Country 31,Product 10,3293.59,292.43,0.088787615,,,,
2/1/2015,Vendor A,Country 7,Product 3,145.16,3.27,0.022526867,,,,
2/1/2015,Vendor A,Country 2,Product 9,2058157.41,107354.64,0.052160559,,,,
2/1/2015,Vendor A,Country 3,Product 3,96.85,2.86,0.029530201,,,,
2/1/2015,Vendor A,Country 38,Product 9,-6.07,0.35,-0.057660626,,,,
2/1/2015,Vendor A,Country 4,Product 1,224.05,6.36,0.028386521,,,,
2/1/2015,Vendor A,Country 23,Product 2,23.69,2,0.084423808,,,,
2/1/2015,Vendor A,Country 22,Product 4,700.68,42.82,0.061112063,,,,
2/1/2015,Vendor A,Country 47,Product 2,6.89,0.58,0.084179971,,,,
2/1/2015,Vendor A,Country 4,Product 4,2381.56,110.93,0.046578713,,,,
2/1/2015,Vendor A,Country 16,Product 9,23575.9,1585.57,0.067253848,,,,
2/1/2015,Vendor A,Country 36,Product 4,6012.52,731.55,0.121671113,,,,
2/1/2015,Vendor A,Country 51,Product 12,196.21,16.37,0.083431018,,,,
2/1/2015,Vendor A,Country 23,Product 4,99021.07,5105.07,0.051555391,,,,
2/1/2015,Vendor A,Country 34,Product 10,11.88,1,0.084175084,,,,
2/1/2015,Vendor A,Country 8,Product 4,281008.72,19003.76,0.067626941,,,,
2/1/2015,Vendor A,Country 30,Product 9,130090.37,2053.68,0.015786564,,,,
2/1/2015,Vendor A,Country 41,Product 10,25.36,2.13,0.083990536,,,,
2/1/2015,Vendor A,Country 40,Product 9,407635.79,25782.63,0.063249181,,,,
2/1/2015,Vendor A,Country 28,Product 12,861.55,71.66,0.083175672,,,,
2/1/2015,Vendor A,Country 30,Product 4,158590.67,3073.55,0.019380396,,,,
2/1/2015,Vendor A,Country 29,Product 2,-21.08,64.02,-3.037001898,,,,
2/1/2015,Vendor A,Country 32,Product 10,103.76,8.81,0.084907479,,,,
2/1/2015,Vendor A,Country 40,Product 3,98.69,2.16,0.021886716,,,,
2/1/2015,Vendor A,Country 19,Product 3,16.25,0.52,0.032,,,,
2/1/2015,Vendor A,Country 47,Product 3,0.34,0.02,0.058823529,,,,
2/1/2015,Vendor A,Country 40,Product 4,236299.59,14962.23,0.0633189,,,,
2/1/2015,Vendor A,Country 25,Product 2,225.71,105.18,0.46599619,,,,
2/1/2015,Vendor A,Country 2,Product 8,13.45,0.5,0.037174721,,,,
2/1/2015,Vendor A,Country 47,Product 10,29.71,2.54,0.0854931,,,,
2/1/2015,Vendor A,Country 8,Product 10,20.86,1.75,0.083892617,,,,
2/1/2015,Vendor D,Country 2,Product 4,2116892.08,91879.27,0.043402907,,,,
2/1/2015,Vendor B,Country 1,Product 6,46847.88,1311.73,0.027999773,,,,
2/1/2015,Vendor B,Country 30,Product 6,67729.95,1896.44,0.028000021,,,,
2/1/2015,Vendor B,Country 35,Product 6,1462401.38,40947.23,0.027999994,,,,
2/1/2015,Vendor B,Country 11,Product 6,3421.12,95.77,0.027993756,,,,
2/1/2015,Vendor C,Country 43,Product 7,4906.98,91.11,0.018567428,,,,
2/1/2015,Vendor A,Country 51,Product 9,4042.12,260.54,0.064456275,,,,
2/1/2015,Vendor A,Country 14,Product 4,22630.73,1495.57,0.066085805,,,,
2/1/2015,Vendor A,Country 15,Product 4,2375.09,174.31,0.073390903,,,,
2/1/2015,Vendor A,Country 13,Product 4,67189.34,4068.72,0.060556035,,,,
2/1/2015,Vendor A,Country 17,Product 12,839.94,69.83,0.083136891,,,,
2/1/2015,Vendor A,Country 33,Product 8,31.99,0.55,0.017192873,,,,
2/1/2015,Vendor A,Country 5,Product 12,4838.4,404.79,0.083661954,,,,
2/1/2015,Vendor A,Country 37,Product 2,38.81,3.26,0.083998969,,,,
2/1/2015,Vendor A,Country 28,Product 9,22329.46,632.74,0.028336556,,,,
2/1/2015,Vendor A,Country 29,Product 9,61191.26,3938.6,0.064365401,,,,
2/1/2015,Vendor A,Country 9,Product 9,293.83,18.52,0.063029643,,,,
2/1/2015,Vendor A,Country 35,Product 9,7104002.32,103776.51,0.014608175,,,,
2/1/2015,Vendor A,Country 43,Product 3,8.51,0.17,0.019976498,,,,
2/1/2015,Vendor A,Country 8,Product 12,180835.83,15256.41,0.084366079,,,,
2/1/2015,Vendor A,Country 26,Product 9,13213.69,333.16,0.025213245,,,,
2/1/2015,Vendor A,Country 34,Product 4,70371.95,2607.23,0.037049279,,,,
2/1/2015,Vendor A,Country 35,Product 2,1537.23,196.36,0.127736253,,,,
2/1/2015,Vendor A,Country 5,Product 3,37.28,0.76,0.020386266,,,,
2/1/2015,Vendor A,Country 37,Product 4,21445.81,1230.28,0.057366917,,,,
2/1/2015,Vendor A,Country 6,Product 3,40.37,0.91,0.022541491,,,,
2/1/2015,Vendor A,Country 45,Product 4,17102.43,971.09,0.05678082,,,,
2/1/2015,Vendor A,Country 50,Product 2,90.04,7.57,0.084073745,,,,
2/1/2015,Vendor A,Country 25,Product 8,1.7,0.04,0.023529412,,,,
2/1/2015,Vendor A,Country 26,Product 12,1587.07,133.5,0.084117273,,,,
2/1/2015,Vendor A,Country 41,Product 12,331.06,28.32,0.085543406,,,,
2/1/2015,Vendor A,Country 27,Product 8,16.73,0.31,0.018529588,,,,
2/1/2015,Vendor A,Country 50,Product 3,54.27,1.12,0.020637553,,,,
2/1/2015,Vendor A,Country 23,Product 10,12.63,1.06,0.083927158,,,,
2/1/2015,Vendor A,Country 5,Product 10,28.07,2.36,0.084075525,,,,
2/1/2015,Vendor A,Country 6,Product 4,43823.61,1507.68,0.034403373,,,,
2/1/2015,Vendor A,Country 3,Product 12,32869.92,2746.08,0.08354386,,,,
2/1/2015,Vendor A,Country 3,Product 10,80.37,6.78,0.084359836,,,,
2/1/2015,Vendor A,Country 48,Product 10,26.08,2.19,0.083972393,,,,
2/1/2015,Vendor B,Country 23,Product 6,3818.65,109.11,0.028572925,,,,
2/1/2015,Vendor B,Country 39,Product 6,7320.09,210.12,0.028704565,,,,
2/1/2015,Vendor C,Country 49,Product 7,2.99,0.06,0.02006689,,,,
